Type,DataName,D1,D2,D3,D4,D5,D6
UI,promoter_content_locator,"xpath=//main//*[contains(.,'Referral') or contains(.,'Promoter')]","xpath=//main//*[contains(.,'Referral') or contains(.,'Promoter')]","xpath=//main//*[contains(.,'Referral') or contains(.,'Promoter')]","xpath=//main//*[contains(.,'Referral') or contains(.,'Promoter')]","xpath=//main//*[contains(.,'Referral') or contains(.,'Promoter')]","xpath=//main//*[contains(.,'Referral') or contains(.,'Promoter')]"
UI,nalanda_content_locator,"xpath=//main//*[contains(.,'Nalanda')]","xpath=//main//*[contains(.,'Nalanda')]","xpath=//main//*[contains(.,'Nalanda')]","xpath=//main//*[contains(.,'Nalanda')]","xpath=//main//*[contains(.,'Nalanda')]","xpath=//main//*[contains(.,'Nalanda')]"
UI,wallet_title_locator,"xpath=//h1[contains(.,'Wallet')]","xpath=//h1[contains(.,'Wallet')]","xpath=//h1[contains(.,'Wallet')]","xpath=//h1[contains(.,'Wallet')]","xpath=//h1[contains(.,'Wallet')]","xpath=//h1[contains(.,'Wallet')]"
UI,referral_section_locator,"xpath=//*[contains(.,'Your Referral Link')]","xpath=//*[contains(.,'Your Referral Link')]","xpath=//*[contains(.,'Your Referral Link')]","xpath=//*[contains(.,'Your Referral Link')]","xpath=//*[contains(.,'Your Referral Link')]","xpath=//*[contains(.,'Your Referral Link')]"
UI,copy_link_btn_locator,"xpath=//button[contains(.,'Copy Link')]","xpath=//button[contains(.,'Copy Link')]","xpath=//button[contains(.,'Copy Link')]","xpath=//button[contains(.,'Copy Link')]","xpath=//button[contains(.,'Copy Link')]","xpath=//button[contains(.,'Copy Link')]"
UI,onboarding_next_locator,"xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[normalize-space()='Next']","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[normalize-space()='Next']","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[normalize-space()='Next']","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[normalize-space()='Next']","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[normalize-space()='Next']","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[normalize-space()='Next']"
UI,onboarding_brahl_title_locator,"xpath=//h2[contains(.,'BRAHL Cycle')]","xpath=//h2[contains(.,'BRAHL Cycle')]","xpath=//h2[contains(.,'BRAHL Cycle')]","xpath=//h2[contains(.,'BRAHL Cycle')]","xpath=//h2[contains(.,'BRAHL Cycle')]","xpath=//h2[contains(.,'BRAHL Cycle')]"
UI,onboarding_back_locator,"xpath=//h2[contains(.,'Welcome to QAonAir')]/following::button[normalize-space()='Back'][1]","xpath=//h2[contains(.,'Welcome to QAonAir')]/following::button[normalize-space()='Back'][1]","xpath=//h2[contains(.,'Welcome to QAonAir')]/following::button[normalize-space()='Back'][1]","xpath=//h2[contains(.,'Welcome to QAonAir')]/following::button[normalize-space()='Back'][1]","xpath=//h2[contains(.,'Welcome to QAonAir')]/following::button[normalize-space()='Back'][1]","xpath=//h2[contains(.,'Welcome to QAonAir')]/following::button[normalize-space()='Back'][1]"
UI,onboarding_section_locator,"xpath=//*[contains(.,'Welcome to QAonAir')]","xpath=//*[contains(.,'Welcome to QAonAir')]","xpath=//*[contains(.,'Welcome to QAonAir')]","xpath=//*[contains(.,'Welcome to QAonAir')]","xpath=//*[contains(.,'Welcome to QAonAir')]","xpath=//*[contains(.,'Welcome to QAonAir')]"
UI,onboarding_dismiss_x_locator,"xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[.//svg[contains(@class,'lucide-x')]]","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[.//svg[contains(@class,'lucide-x')]]","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[.//svg[contains(@class,'lucide-x')]]","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[.//svg[contains(@class,'lucide-x')]]","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[.//svg[contains(@class,'lucide-x')]]","xpath=//div[contains(@class,'fixed') and contains(@class,'inset-0')]//button[.//svg[contains(@class,'lucide-x')]]"
UI,xp_tracker_widget_locator,css=div.fixed.bottom-6.right-4,css=div.fixed.bottom-6.right-4,css=div.fixed.bottom-6.right-4,css=div.fixed.bottom-6.right-4,css=div.fixed.bottom-6.right-4,css=div.fixed.bottom-6.right-4
UI,xp_tracker_header_locator,"xpath=//div[contains(@class,'bottom-6')]//p[contains(@class,'uppercase') and contains(.,'XP Tracker')]","xpath=//div[contains(@class,'bottom-6')]//p[contains(@class,'uppercase') and contains(.,'XP Tracker')]","xpath=//div[contains(@class,'bottom-6')]//p[contains(@class,'uppercase') and contains(.,'XP Tracker')]","xpath=//div[contains(@class,'bottom-6')]//p[contains(@class,'uppercase') and contains(.,'XP Tracker')]","xpath=//div[contains(@class,'bottom-6')]//p[contains(@class,'uppercase') and contains(.,'XP Tracker')]","xpath=//div[contains(@class,'bottom-6')]//p[contains(@class,'uppercase') and contains(.,'XP Tracker')]"
UI,xp_total_locator,"xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Total XP']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Total XP']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Total XP']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Total XP']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Total XP']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Total XP']/following-sibling::p[1]"
UI,xp_earned_locator,"xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Earned']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Earned']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Earned']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Earned']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Earned']/following-sibling::p[1]","xpath=//div[contains(@class,'bottom-6')]//div[contains(@class,'grid-cols-3')]//p[normalize-space()='Earned']/following-sibling::p[1]"
UI,xp_streak_locator,"xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Streak']/following-sibling::p[contains(@class,'font-mono')]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Streak']/following-sibling::p[contains(@class,'font-mono')]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Streak']/following-sibling::p[contains(@class,'font-mono')]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Streak']/following-sibling::p[contains(@class,'font-mono')]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Streak']/following-sibling::p[contains(@class,'font-mono')]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Streak']/following-sibling::p[contains(@class,'font-mono')]"
UI,xp_level_progress_locator,"xpath=//div[contains(@class,'bottom-6')]//span[contains(.,'XP to Level')]","xpath=//div[contains(@class,'bottom-6')]//span[contains(.,'XP to Level')]","xpath=//div[contains(@class,'bottom-6')]//span[contains(.,'XP to Level')]","xpath=//div[contains(@class,'bottom-6')]//span[contains(.,'XP to Level')]","xpath=//div[contains(@class,'bottom-6')]//span[contains(.,'XP to Level')]","xpath=//div[contains(@class,'bottom-6')]//span[contains(.,'XP to Level')]"
UI,xp_recent_bonus_locator,"xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Recent Activity']/following::span[normalize-space()='+5'][1]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Recent Activity']/following::span[normalize-space()='+5'][1]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Recent Activity']/following::span[normalize-space()='+5'][1]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Recent Activity']/following::span[normalize-space()='+5'][1]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Recent Activity']/following::span[normalize-space()='+5'][1]","xpath=//div[contains(@class,'bottom-6')]//p[normalize-space()='Recent Activity']/following::span[normalize-space()='+5'][1]"
UI,xp_daily_login_label_locator,"xpath=//div[contains(@class,'bottom-6')]//span[normalize-space()='Daily login']","xpath=//div[contains(@class,'bottom-6')]//span[normalize-space()='Daily login']","xpath=//div[contains(@class,'bottom-6')]//span[normalize-space()='Daily login']","xpath=//div[contains(@class,'bottom-6')]//span[normalize-space()='Daily login']","xpath=//div[contains(@class,'bottom-6')]//span[normalize-space()='Daily login']","xpath=//div[contains(@class,'bottom-6')]//span[normalize-space()='Daily login']"
UI,xp_view_tasks_locator,"xpath=//div[contains(@class,'bottom-6')]//button[.//span[contains(.,'View Daily Tasks')]]","xpath=//div[contains(@class,'bottom-6')]//button[.//span[contains(.,'View Daily Tasks')]]","xpath=//div[contains(@class,'bottom-6')]//button[.//span[contains(.,'View Daily Tasks')]]","xpath=//div[contains(@class,'bottom-6')]//button[.//span[contains(.,'View Daily Tasks')]]","xpath=//div[contains(@class,'bottom-6')]//button[.//span[contains(.,'View Daily Tasks')]]","xpath=//div[contains(@class,'bottom-6')]//button[.//span[contains(.,'View Daily Tasks')]]"
UI,brahl_section_locator,"xpath=//*[contains(.,'The BRAHL Lifecycle')]","xpath=//*[contains(.,'The BRAHL Lifecycle')]","xpath=//*[contains(.,'The BRAHL Lifecycle')]","xpath=//*[contains(.,'The BRAHL Lifecycle')]","xpath=//*[contains(.,'The BRAHL Lifecycle')]","xpath=//*[contains(.,'The BRAHL Lifecycle')]"
UI,roles_section_locator,"xpath=//*[contains(.,'Four Roles. One Ecosystem.')]","xpath=//*[contains(.,'Four Roles. One Ecosystem.')]","xpath=//*[contains(.,'Four Roles. One Ecosystem.')]","xpath=//*[contains(.,'Four Roles. One Ecosystem.')]","xpath=//*[contains(.,'Four Roles. One Ecosystem.')]","xpath=//*[contains(.,'Four Roles. One Ecosystem.')]"
UI,faq_qoa_locator,"xpath=//button[contains(.,'What is QAonAir?')]","xpath=//button[contains(.,'What is QAonAir?')]","xpath=//button[contains(.,'What is QAonAir?')]","xpath=//button[contains(.,'What is QAonAir?')]","xpath=//button[contains(.,'What is QAonAir?')]","xpath=//button[contains(.,'What is QAonAir?')]"
UI,get_started_btn_locator,"xpath=//button[contains(.,'Get Started')]","xpath=//button[contains(.,'Get Started')]","xpath=//button[contains(.,'Get Started')]","xpath=//button[contains(.,'Get Started')]","xpath=//button[contains(.,'Get Started')]","xpath=//button[contains(.,'Get Started')]"
UI,job_assistant_locator,"xpath=//*[contains(.,'AI JOB ASSISTANT')]","xpath=//*[contains(.,'AI JOB ASSISTANT')]","xpath=//*[contains(.,'AI JOB ASSISTANT')]","xpath=//*[contains(.,'AI JOB ASSISTANT')]","xpath=//*[contains(.,'AI JOB ASSISTANT')]","xpath=//*[contains(.,'AI JOB ASSISTANT')]"
UI,build_page_title_locator,"xpath=//h1[contains(.,'Build')]","xpath=//h1[contains(.,'Build')]","xpath=//h1[contains(.,'Build')]","xpath=//h1[contains(.,'Build')]","xpath=//h1[contains(.,'Build')]","xpath=//h1[contains(.,'Build')]"
UI,heal_page_title_locator,"xpath=//h1[contains(.,'Heal')]","xpath=//h1[contains(.,'Heal')]","xpath=//h1[contains(.,'Heal')]","xpath=//h1[contains(.,'Heal')]","xpath=//h1[contains(.,'Heal')]","xpath=//h1[contains(.,'Heal')]"
UI,loop_page_title_locator,"xpath=//h1[contains(.,'Loop')]","xpath=//h1[contains(.,'Loop')]","xpath=//h1[contains(.,'Loop')]","xpath=//h1[contains(.,'Loop')]","xpath=//h1[contains(.,'Loop')]","xpath=//h1[contains(.,'Loop')]"
UI,jobs_page_title_locator,xpath=//h1[normalize-space()='AI Job Assistant'],xpath=//h1[normalize-space()='AI Job Assistant'],xpath=//h1[normalize-space()='AI Job Assistant'],xpath=//h1[normalize-space()='AI Job Assistant'],xpath=//h1[normalize-space()='AI Job Assistant'],xpath=//h1[normalize-space()='AI Job Assistant']
UI,jobs_career_tab_locator,xpath=//button[normalize-space()='Career Assistant'],xpath=//button[normalize-space()='Career Assistant'],xpath=//button[normalize-space()='Career Assistant'],xpath=//button[normalize-space()='Career Assistant'],xpath=//button[normalize-space()='Career Assistant'],xpath=//button[normalize-space()='Career Assistant']
UI,jobs_resume_locator,"xpath=//*[contains(.,'Upload Your Resume')]","xpath=//*[contains(.,'Upload Your Resume')]","xpath=//*[contains(.,'Upload Your Resume')]","xpath=//*[contains(.,'Upload Your Resume')]","xpath=//*[contains(.,'Upload Your Resume')]","xpath=//*[contains(.,'Upload Your Resume')]"
UI,docs_title_locator,"xpath=//h1[contains(.,'Documentation')]","xpath=//h1[contains(.,'Documentation')]","xpath=//h1[contains(.,'Documentation')]","xpath=//h1[contains(.,'Documentation')]","xpath=//h1[contains(.,'Documentation')]","xpath=//h1[contains(.,'Documentation')]"
UI,build_blueprint_locator,"xpath=//*[contains(.,'FoXYiZ YPADs')]","xpath=//*[contains(.,'FoXYiZ YPADs')]","xpath=//*[contains(.,'FoXYiZ YPADs')]","xpath=//*[contains(.,'FoXYiZ YPADs')]","xpath=//*[contains(.,'FoXYiZ YPADs')]","xpath=//*[contains(.,'FoXYiZ YPADs')]"
UI,heal_failures_locator,"xpath=//*[contains(.,'Automated Test Failures')]","xpath=//*[contains(.,'Automated Test Failures')]","xpath=//*[contains(.,'Automated Test Failures')]","xpath=//*[contains(.,'Automated Test Failures')]","xpath=//*[contains(.,'Automated Test Failures')]","xpath=//*[contains(.,'Automated Test Failures')]"
UI,heal_subtitle_locator,"xpath=//*[contains(.,'Fix broken test cases')]","xpath=//*[contains(.,'Fix broken test cases')]","xpath=//*[contains(.,'Fix broken test cases')]","xpath=//*[contains(.,'Fix broken test cases')]","xpath=//*[contains(.,'Fix broken test cases')]","xpath=//*[contains(.,'Fix broken test cases')]"
UI,loop_report_locator,"xpath=//h2[contains(.,'BRAHL Report')]","xpath=//h2[contains(.,'BRAHL Report')]","xpath=//h2[contains(.,'BRAHL Report')]","xpath=//h2[contains(.,'BRAHL Report')]","xpath=//h2[contains(.,'BRAHL Report')]","xpath=//h2[contains(.,'BRAHL Report')]"
UI,loop_how_it_works_locator,"xpath=//*[contains(.,'How the Loop works')]","xpath=//*[contains(.,'How the Loop works')]","xpath=//*[contains(.,'How the Loop works')]","xpath=//*[contains(.,'How the Loop works')]","xpath=//*[contains(.,'How the Loop works')]","xpath=//*[contains(.,'How the Loop works')]"
UI,loop_run_now_locator,"xpath=//*[contains(.,'Run Now')]","xpath=//*[contains(.,'Run Now')]","xpath=//*[contains(.,'Run Now')]","xpath=//*[contains(.,'Run Now')]","xpath=//*[contains(.,'Run Now')]","xpath=//*[contains(.,'Run Now')]"
UI,loop_issues_link_locator,"xpath=//a[contains(@href,'/issues')]","xpath=//a[contains(@href,'/issues')]","xpath=//a[contains(@href,'/issues')]","xpath=//a[contains(@href,'/issues')]","xpath=//a[contains(@href,'/issues')]","xpath=//a[contains(@href,'/issues')]"
UI,not_found_h1_locator,css=h1,css=h1,css=h1,css=h1,css=h1,css=h1
UI,not_found_h2_locator,"xpath=//h2[contains(.,'Page Not Found')]","xpath=//h2[contains(.,'Page Not Found')]","xpath=//h2[contains(.,'Page Not Found')]","xpath=//h2[contains(.,'Page Not Found')]","xpath=//h2[contains(.,'Page Not Found')]","xpath=//h2[contains(.,'Page Not Found')]"
UI,header_logo_locator,xpath=//a[@href='/dashboard'],xpath=//a[@href='/dashboard'],xpath=//a[@href='/dashboard'],xpath=//a[@href='/dashboard'],xpath=//a[@href='/dashboard'],xpath=//a[@href='/dashboard']
UI,admin_url,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin,https://qoa2.base44.app/admin
UI,admin_panel_title_locator,"xpath=//h1[normalize-space()='Admin Panel']","xpath=//h1[normalize-space()='Admin Panel']","xpath=//h1[normalize-space()='Admin Panel']","xpath=//h1[normalize-space()='Admin Panel']","xpath=//h1[normalize-space()='Admin Panel']","xpath=//h1[normalize-space()='Admin Panel']"
UI,admin_subtitle_locator,"xpath=//*[contains(.,'Manage users, clients, projects')]","xpath=//*[contains(.,'Manage users, clients, projects')]","xpath=//*[contains(.,'Manage users, clients, projects')]","xpath=//*[contains(.,'Manage users, clients, projects')]","xpath=//*[contains(.,'Manage users, clients, projects')]","xpath=//*[contains(.,'Manage users, clients, projects')]"
UI,admin_total_users_stat_locator,"xpath=//p[normalize-space()='Total Users']","xpath=//p[normalize-space()='Total Users']","xpath=//p[normalize-space()='Total Users']","xpath=//p[normalize-space()='Total Users']","xpath=//p[normalize-space()='Total Users']","xpath=//p[normalize-space()='Total Users']"
UI,admin_regular_users_stat_locator,"xpath=//p[normalize-space()='Regular Users']","xpath=//p[normalize-space()='Regular Users']","xpath=//p[normalize-space()='Regular Users']","xpath=//p[normalize-space()='Regular Users']","xpath=//p[normalize-space()='Regular Users']","xpath=//p[normalize-space()='Regular Users']"
UI,admin_nav_link_locator,css=a[href='/admin'],css=a[href='/admin'],css=a[href='/admin'],css=a[href='/admin'],css=a[href='/admin'],css=a[href='/admin']
UI,admin_back_dashboard_locator,"xpath=//*[self::button or self::a][contains(.,'Back to Dashboard')]","xpath=//*[self::button or self::a][contains(.,'Back to Dashboard')]","xpath=//*[self::button or self::a][contains(.,'Back to Dashboard')]","xpath=//*[self::button or self::a][contains(.,'Back to Dashboard')]","xpath=//*[self::button or self::a][contains(.,'Back to Dashboard')]","xpath=//*[self::button or self::a][contains(.,'Back to Dashboard')]"
