Type,DataName,D1,D2,D3,D4,D5,D6,D7,D8,D9
UI,idea_empty_url,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/,https://jusdone.base44.app/idea/
UI,idea_missing_url,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000,https://jusdone.base44.app/idea/000000000000000000000000
UI,view_empty_url,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/,https://jusdone.base44.app/view/
UI,view_traversal_url,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../,https://jusdone.base44.app/view/../
UI,ideas_dbl_url,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas,https://jusdone.base44.app//ideas
UI,long_404_url,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,https://jusdone.base44.app/xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
UI,reset_garbage_url,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%,https://jusdone.base44.app/reset-password?token=not-a-valid-token-%%%
UI,home_mode_screen_url,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen,https://jusdone.base44.app/?mode=screen
UI,login_next_url,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed,https://jusdone.base44.app/login?next=/embed
UI,embed_xss_url,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E,https://jusdone.base44.app/embed?x=%3Cscript%3Ealert(1)%3C/script%3E
UI,api_host,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app
UI,ep_home,/,/,/,/,/,/,/,/,/
UI,ep_embed_js,/embed.js,/embed.js,/embed.js,/embed.js,/embed.js,/embed.js,/embed.js,/embed.js,/embed.js
UI,ep_docs,/docs,/docs,/docs,/docs,/docs,/docs,/docs,/docs,/docs
UI,ep_integrate,/integrate,/integrate,/integrate,/integrate,/integrate,/integrate,/integrate,/integrate,/integrate
UI,ep_login,/login,/login,/login,/login,/login,/login,/login,/login,/login
UI,ep_ideas,/ideas,/ideas,/ideas,/ideas,/ideas,/ideas,/ideas,/ideas,/ideas
UI,ep_dashboard,/dashboard,/dashboard,/dashboard,/dashboard,/dashboard,/dashboard,/dashboard,/dashboard,/dashboard
UI,ep_embed,/embed,/embed,/embed,/embed,/embed,/embed,/embed,/embed,/embed
UI,ep_favicon,/favicon.ico,/favicon.ico,/favicon.ico,/favicon.ico,/favicon.ico,/favicon.ico,/favicon.ico,/favicon.ico,/favicon.ico
UI,ep_unknown,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz,/no-such-api-xyz
UI,input_add_text,css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text'],css=input[placeholder*='Add text']
UI,btn_unshare,"xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]","xpath=//button[contains(normalize-space(),'Unshare')]"
UI,btn_screen,"xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]","xpath=//button[contains(.,'Screen')]"
UI,btn_see_all,"xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]","xpath=//*[contains(normalize-space(),'See all')]"
UI,btn_log_in,xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in'],xpath=//button[normalize-space()='Log in']
UI,sample_thought_text,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage,Deep regression note about shipping FoXYiZ yPAD coverage
UI,bad_email,not-an-email,not-an-email,not-an-email,not-an-email,not-an-email,not-an-email,not-an-email,not-an-email,not-an-email
UI,text_https_host,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app,https://jusdone.base44.app
UI,text_add_files_hint,Add files,Add files,Add files,Add files,Add files,Add files,Add files,Add files,Add files
UI,text_3_ideas,3 ideas,3 ideas,3 ideas,3 ideas,3 ideas,3 ideas,3 ideas,3 ideas,3 ideas
UI,text_sample_gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening,Sustainable Urban Gardening
UI,text_top_topics,Top Topics,Top Topics,Top Topics,Top Topics,Top Topics,Top Topics,Top Topics,Top Topics,Top Topics
UI,text_this_week,This Week,This Week,This Week,This Week,This Week,This Week,This Week,This Week,This Week
UI,text_activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity
UI,text_recordings,RECORDINGS,RECORDINGS,RECORDINGS,RECORDINGS,RECORDINGS,RECORDINGS,RECORDINGS,RECORDINGS,RECORDINGS
UI,text_tags,Tags,Tags,Tags,Tags,Tags,Tags,Tags,Tags,Tags
UI,text_explore,Explore,Explore,Explore,Explore,Explore,Explore,Explore,Explore,Explore
UI,text_all_ideas,All ideas,All ideas,All ideas,All ideas,All ideas,All ideas,All ideas,All ideas,All ideas
UI,text_add_recording,Add recording,Add recording,Add recording,Add recording,Add recording,Add recording,Add recording,Add recording,Add recording
UI,text_api_reference,API Reference,API Reference,API Reference,API Reference,API Reference,API Reference,API Reference,API Reference,API Reference
UI,text_sdk_open,open(),open(),open(),open(),open(),open(),open(),open(),open()
UI,text_sdk_close,close(),close(),close(),close(),close(),close(),close(),close(),close()
UI,text_sdk_toggle,toggle(),toggle(),toggle(),toggle(),toggle(),toggle(),toggle(),toggle(),toggle()
UI,text_sdk_setcontext,setContext,setContext,setContext,setContext,setContext,setContext,setContext,setContext,setContext
UI,text_sso,SSO,SSO,SSO,SSO,SSO,SSO,SSO,SSO,SSO
UI,text_data_model,Data Model,Data Model,Data Model,Data Model,Data Model,Data Model,Data Model,Data Model,Data Model
UI,text_voicenote,VoiceNote,VoiceNote,VoiceNote,VoiceNote,VoiceNote,VoiceNote,VoiceNote,VoiceNote,VoiceNote
UI,text_ideathread,IdeaThread,IdeaThread,IdeaThread,IdeaThread,IdeaThread,IdeaThread,IdeaThread,IdeaThread,IdeaThread
UI,text_is_public,is_public,is_public,is_public,is_public,is_public,is_public,is_public,is_public,is_public
UI,text_process_voice,processVoiceNote,processVoiceNote,processVoiceNote,processVoiceNote,processVoiceNote,processVoiceNote,processVoiceNote,processVoiceNote,processVoiceNote
UI,text_seed_demo,seedDemoData,seedDemoData,seedDemoData,seedDemoData,seedDemoData,seedDemoData,seedDemoData,seedDemoData,seedDemoData
UI,text_localstorage,localStorage,localStorage,localStorage,localStorage,localStorage,localStorage,localStorage,localStorage,localStorage
UI,text_pages_routes,Application Pages,Application Pages,Application Pages,Application Pages,Application Pages,Application Pages,Application Pages,Application Pages,Application Pages
UI,text_route_idea,/idea/,/idea/,/idea/,/idea/,/idea/,/idea/,/idea/,/idea/,/idea/
UI,text_route_view,/view/,/view/,/view/,/view/,/view/,/view/,/view/,/view/,/view/
UI,text_route_embed,/embed,/embed,/embed,/embed,/embed,/embed,/embed,/embed,/embed
UI,text_log_in,Log in,Log in,Log in,Log in,Log in,Log in,Log in,Log in,Log in
UI,text_create_account,Create account,Create account,Create account,Create account,Create account,Create account,Create account,Create account,Create account
UI,text_already_have,Already have an account,Already have an account,Already have an account,Already have an account,Already have an account,Already have an account,Already have an account,Already have an account,Already have an account
UI,text_return_here,return here,return here,return here,return here,return here,return here,return here,return here,return here
UI,text_embed_sdk,Embed SDK,Embed SDK,Embed SDK,Embed SDK,Embed SDK,Embed SDK,Embed SDK,Embed SDK,Embed SDK
UI,text_idea_not_found,Idea not found,Idea not found,Idea not found,Idea not found,Idea not found,Idea not found,Idea not found,Idea not found,Idea not found
UI,text_back_to_ideas,Back to Ideas,Back to Ideas,Back to Ideas,Back to Ideas,Back to Ideas,Back to Ideas,Back to Ideas,Back to Ideas,Back to Ideas
UI,text_auth_modes,Authentication,Authentication,Authentication,Authentication,Authentication,Authentication,Authentication,Authentication,Authentication
UI,perf_budget_home,15000,15000,15000,15000,15000,15000,15000,15000,15000
UI,perf_budget_docs,15000,15000,15000,15000,15000,15000,15000,15000,15000
